COUNTY,YEAR,COUNT
ALAMEDA,2008,"986,845"
ALPINE,2008,"1,055"
AMADOR,2008,"28,768"
BUTTE,2008,"153,567"
CALAVERAS,2008,"37,186"
COLUSA,2008,"13,186"
CONTRA COSTA,2008,"706,183"
DEL NORTE,2008,"18,212"
EL DORADO,2008,"141,185"
FRESNO,2008,"509,604"
GLENN,2008,"18,737"
HUMBOLDT,2008,"97,780"
IMPERIAL,2008,"102,125"
INYO,2008,"14,645"
KERN,2008,"456,265"
KINGS,2008,"69,622"
LAKE,2008,"46,476"
LASSEN,2008,"19,804"
LOS ANGELES,2008,"5,978,101"
MADERA,2008,"78,277"
MARIN,2008,"186,684"
MARIPOSA,2008,"15,006"
MENDOCINO,2008,"64,737"
MERCED,2008,"136,226"
MODOC,2008,"6,792"
MONO,2008,"9,529"
MONTEREY,2008,"235,300"
NAPA,2008,"90,709"
NEVADA,2008,"80,802"
ORANGE,2008,"2,025,409"
PLACER,2008,"252,467"
PLUMAS,2008,"17,368"
RIVERSIDE,2008,"1,268,558"
SACRAMENTO,2008,"912,987"
SAN BENITO,2008,"34,542"
SAN BERNARDINO,2008,"1,210,296"
SAN DIEGO,2008,"2,099,661"
SAN FRANCISCO,2008,"534,829"
SAN JOAQUIN,2008,"398,199"
SAN LUIS OBISPO,2008,"190,740"
SAN MATEO,2008,"498,361"
SANTA BARABARA,2008,"268,401"
SANTA CLARA,2008,"1,209,035"
SANTA CRUZ,2008,"177,680"
SHASTA,2008,"136,736"
SIERRA,2008,"2,705"
SISKIYOU,2008,"36,184"
SOLANO,2008,"272,163"
SONOMA,2008,"330,909"
STANISLAUS,2008,"313,324"
SUTTER,2008,"61,019"
TEHAMA,2008,"40,532"
TRINITY,2008,"10,710"
TULARE,2008,"224,376"
TUOLUMNE,2008,"41,840"
VENTURA,2008,"552,882"
YOLO,2008,"122,808"
YUBA,2008,"44,277"
ZZOUTOFSTATE,2008,"126,586"
ZZID CARDS,2008,"5,661,188"
ALAMEDA,2009,"986,580"
ALPINE,2009,982
AMADOR,2009,"28,511"
BUTTE,2009,"153,709"
CALAVERAS,2009,"36,787"
COLUSA,2009,"13,096"
CONTRA COSTA,2009,"708,222"
DEL NORTE,2009,"18,040"
EL DORADO,2009,"140,951"
FRESNO,2009,"510,774"
GLENN,2009,"18,645"
HUMBOLDT,2009,"97,425"
IMPERIAL,2009,"103,583"
INYO,2009,"14,443"
KERN,2009,"458,819"
KINGS,2009,"69,857"
LAKE,2009,"46,112"
LASSEN,2009,"19,637"
LOS ANGELES,2009,"5,945,108"
MADERA,2009,"78,527"
MARIN,2009,"185,726"
MARIPOSA,2009,"14,856"
MENDOCINO,2009,"64,079"
MERCED,2009,"136,164"
MODOC,2009,"6,719"
MONO,2009,"9,402"
MONTEREY,2009,"233,884"
NAPA,2009,"90,616"
NEVADA,2009,"80,512"
ORANGE,2009,"2,023,150"
PLACER,2009,"255,777"
PLUMAS,2009,"17,064"
RIVERSIDE,2009,"1,286,740"
SACRAMENTO,2009,"912,951"
SAN BENITO,2009,"34,489"
SAN BERNARDINO,2009,"1,211,272"
SAN DIEGO,2009,"2,105,659"
SAN FRANCISCO,2009,"534,852"
SAN JOAQUIN,2009,"399,977"
SAN LUIS OBISPO,2009,"191,188"
SAN MATEO,2009,"496,846"
SANTA BARABARA,2009,"266,677"
SANTA CLARA,2009,"1,208,564"
SANTA CRUZ,2009,"177,030"
SHASTA,2009,"136,332"
SIERRA,2009,"2,649"
SISKIYOU,2009,"35,859"
SOLANO,2009,"270,786"
SONOMA,2009,"330,514"
STANISLAUS,2009,"312,090"
SUTTER,2009,"60,949"
TEHAMA,2009,"40,447"
TRINITY,2009,"10,657"
TULARE,2009,"225,537"
TUOLUMNE,2009,"41,226"
VENTURA,2009,"551,997"
YOLO,2009,"123,140"
YUBA,2009,"44,530"
ZZOUTOFSTATE,2009,"119,332"
ZZID CARDS,2009,"6,065,359"
ALAMEDA,2010,"990,831"
ALPINE,2010,965
AMADOR,2010,"28,494"
BUTTE,2010,"154,510"
CALAVERAS,2010,"36,722"
COLUSA,2010,"13,168"
CONTRA COSTA,2010,"713,308"
DEL NORTE,2010,"17,968"
EL DORADO,2010,"141,232"
FRESNO,2010,"512,448"
GLENN,2010,"18,660"
HUMBOLDT,2010,"97,331"
IMPERIAL,2010,"105,036"
INYO,2010,"14,369"
KERN,2010,"462,377"
KINGS,2010,"70,132"
LAKE,2010,"46,282"
LASSEN,2010,"19,477"
LOS ANGELES,2010,"5,946,629"
MADERA,2010,"78,728"
MARIN,2010,"186,273"
MARIPOSA,2010,"14,706"
MENDOCINO,2010,"63,810"
MERCED,2010,"136,480"
MODOC,2010,"6,657"
MONO,2010,"9,345"
MONTEREY,2010,"233,762"
NAPA,2010,"91,075"
NEVADA,2010,"80,474"
ORANGE,2010,"2,034,001"
PLACER,2010,"259,707"
PLUMAS,2010,"16,918"
RIVERSIDE,2010,"1,308,179"
SACRAMENTO,2010,"917,203"
SAN BENITO,2010,"34,672"
SAN BERNARDINO,2010,"1,219,088"
SAN DIEGO,2010,"2,122,381"
SAN FRANCISCO,2010,"537,613"
SAN JOAQUIN,2010,"401,985"
SAN LUIS OBISPO,2010,"192,140"
SAN MATEO,2010,"498,127"
SANTA BARABARA,2010,"266,308"
SANTA CLARA,2010,"1,216,439"
SANTA CRUZ,2010,"177,464"
SHASTA,2010,"136,581"
SIERRA,2010,"2,619"
SISKIYOU,2010,"35,774"
SOLANO,2010,"270,717"
SONOMA,2010,"331,556"
STANISLAUS,2010,"312,112"
SUTTER,2010,"61,142"
TEHAMA,2010,"40,529"
TRINITY,2010,"10,648"
TULARE,2010,"226,850"
TUOLUMNE,2010,"41,011"
VENTURA,2010,"553,715"
YOLO,2010,"123,489"
YUBA,2010,"44,638"
ZZOUTOFSTATE,2010,"114,658"
ZZID CARDS,2010,"6,201,560"
ALAMEDA,2011,"1,002,389"
ALPINE,2011,917
AMADOR,2011,"28,348"
BUTTE,2011,"154,604"
CALAVERAS,2011,"36,701"
COLUSA,2011,"13,230"
CONTRA COSTA,2011,"720,412"
DEL NORTE,2011,"17,707"
EL DORADO,2011,"140,388"
FRESNO,2011,"515,837"
GLENN,2011,"18,645"
HUMBOLDT,2011,"96,069"
IMPERIAL,2011,"107,118"
INYO,2011,"14,187"
KERN,2011,"465,903"
KINGS,2011,"70,166"
LAKE,2011,"46,186"
LASSEN,2011,"18,885"
LOS ANGELES,2011,"5,980,975"
MADERA,2011,"79,098"
MARIN,2011,"186,705"
MARIPOSA,2011,"14,533"
