Year,Electric Vehicles,Hybrid Electric Vehicles,,,,,,,,,,,,,,,,
2002,24,4,,,,,,,,,,,,,,,,
2003,34,8,,,,,,,,,,,,,,,,
2004,21,10,,,,,,,,,,,,,,,,
2005,26,15,,,,,,,,,,,,,,,,
2006,40,19,,,,,,,,,,,,,,,,
2007,32,18,,,,,,,,,,,,,,,,
2008,28,24,,,,,,,,,,,,,,,,
2009,50,33,,,,,,,,,,,,,,,,
2010,51,33,,,,,,,,,,,,,,,,
2011,64,47,,,,,,,,,,,,,,,,
2012,49,38,,,,,,,,,,,,,,,,
2013,48,42,,,,,,,,,,,,,,,,
2014,46,14,,,,,,,,,,,,,,,,
2015,65,15,,,,,,,,,,,,,,,,
2016,41,6,,,,,,,,,,,,,,,,
2017,50,5,,,,,,,,,,,,,,,,
2018,159,10,,,,,,,,,,,,,,,,
