Year,Registered Vehicles,Miles traveled ,Fuel consumed,Miles traveled per vehicle,Miles traveled per gallon,Fuel consumed by vehicle ,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1960,"73,858","718,762","57,880",9.7,12.4,784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1965,"90,358","887,812","71,104",9.8,12.5,787,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1970,"111,242","1,109,724","92,329",10.0,12.0,830,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1975,"137,913","1,327,664","108,984",9.6,12.2,790,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1980,"161,490","1,527,295","114,960",9.5,13.3,712,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1985,"177,133","1,774,826","121,301",10.0,14.6,685,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1990,"193,057","2,144,362","130,755",11.1,16.4,677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1991,"192,314","2,172,050","128,563",11.3,16.9,669,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1992,"194,427","2,247,151","132,888",11.6,16.9,683,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1993,"198,041","2,296,378","137,262",11.6,16.7,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1994,"201,802","2,357,588","140,839",11.7,16.7,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1995,"205,427","2,422,696","143,834",11.8,16.8,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1996,"210,441","2,485,848","147,365",11.8,16.9,700,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,"211,580","2,561,695","150,386",12.1,17.0,711,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1998,"215,496","2,631,522","155,379",12.2,16.9,721,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1999,"220,461","2,691,056","161,411",12.2,16.7,732,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,"225,821","2,746,925","162,554",12.2,16.9,720,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2001,"235,331","2,795,610","163,478",11.9,17.1,695,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,"234,624","2,855,508","168,682",12.2,16.9,719,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2003,"236,760","2,890,221","170,069",12.2,17.0,718,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2004,"243,011","2,964,788","173,531",12.2,17.1,714,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2005,"247,421","2,989,430","174,787",12.1,17.1,706,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,"250,845","3,014,371","175,023",12.0,17.2,698,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2007,"254,403","3,031,124","176,203",11.9,17.2,693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2008,"255,918","2,976,528","170,765",11.6,17.4,667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2009,"254,213","2,956,764","168,140",11.6,17.6,661,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,"250,070","2,967,266","170,411",11.9,17.4,681,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,"253,216","2,950,402","168,452",11.7,17.5,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,"253,639","2,969,433","168,621",11.7,17.6,665,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,"255,877","2,988,280","169,651",11.7,17.6,663,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,"260,351","3,025,656","173,347",12,17,666,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,"263,610","3,095,373","172,881",12,18,656,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,"268,799","3,174,408","176,891",11.8,17.9,658,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,"272,481","3,212,347","177,951",11.8,18.1,653,,,,,,,,,,,,,,,,,,,,,,,,,,,,
