Year,Registered Vehicles,Miles traveled ,Fuel consumed,Miles traveled per vehicle,Miles traveled per gallon,Fuel consumed by vehicle 
1960,73858,718762,57880,9.7,12.4,784
1965,90358,887812,71104,9.8,12.5,787
1970,111242,1109724,92329,10.0,12.0,830
1975,137913,1327664,108984,9.6,12.2,790
1980,161490,1527295,114960,9.5,13.3,712
1985,177133,1774826,121301,10.0,14.6,685
1990,193057,2144362,130755,11.1,16.4,677
1991,192314,2172050,128563,11.3,16.9,669
1992,194427,2247151,132888,11.6,16.9,683
1993,198041,2296378,137262,11.6,16.7,693
1994,201802,2357588,140839,11.7,16.7,698
1995,205427,2422696,143834,11.8,16.8,700
1996,210441,2485848,147365,11.8,16.9,700
1997,211580,2561695,150386,12.1,17.0,711
1998,215496,2631522,155379,12.2,16.9,721
1999,220461,2691056,161411,12.2,16.7,732
2000,225821,2746925,162554,12.2,16.9,720
2001,235331,2795610,163478,11.9,17.1,695
2002,234624,2855508,168682,12.2,16.9,719
2003,236760,2890221,170069,12.2,17.0,718
2004,243011,2964788,173531,12.2,17.1,714
2005,247421,2989430,174787,12.1,17.1,706
2006,250845,3014371,175023,12.0,17.2,698
2007,254403,3031124,176203,11.9,17.2,693
2008,255918,2976528,170765,11.6,17.4,667
2009,254213,2956764,168140,11.6,17.6,661
2010,250070,2967266,170411,11.9,17.4,681
2011,253216,2950402,168452,11.7,17.5,665
2012,253639,2969433,168621,11.7,17.6,665
2013,255877,2988280,169651,11.7,17.6,663
2014,260351,3025656,173347,12,17,666
2015,263610,3095373,172881,12,18,656
2016,268799,3174408,176891,11.8,17.9,658
2017,272481,3212347,177951,11.8,18.1,653
