Rank,Model,Powertrain Type,New Retail Registration
1,Tesla Model 3,Electric,12674
2,Toyota Prius,Hybrid,10043
3,Toyota Prius,Plug in Hybrid,6812
4,Tesla Model S,Electric,4993
5,Chevrolet Volt,Plug in Hybrid,4737
6,Toyota RAV4,Hybrid,4383
7,Chevrolet Bolt,Electric,4055
8,Tesla Model X,Electric,3962
9,Ford Fusion,Hybrid,3759
10,Toyota Camry,Hybrid,3173
11,Honda Clarity,Plug in Hybrid,3115
12,Kia Niro,Hybrid,2723
13,Ford Fusion,Plug in Hybrid,2399
14,Nissan Leaf,Electric,2370
15,Lexus RX,Hybrid,1929
16,BMW I3,Plug in Hybrid,1790
17,Hyundai Ioniq,Hybrid,1785
18,Toyota Highlander,Hybrid,1710
19,BMW 5-series,Plug in Hybrid,1701
20,Lexus NX,Hybrid,1599
