Rank,Model,Powertrain Type,New Retail Registration
1,Tesla Model 3,Electric,51293
2,Toyota Prius,Hybrid,19366
3,Toyota Prius,Plug in Hybrid,13415
4,Chrevolet Volt,Plug in Hybrid,10749
5,Tesla Model S,Electric,10120
6,Chrevolet Bolt,Electric,9745
7,Tesla Model X,Electric,8925
8,Honda Clarity,Plug in Hybrid,8717
9,Toyota RAV4,Hybrid,8413
10,Ford Fusion,Hybrid,7135
11,Toyota Camry,Hybrid,6511
12,Nissan Leaf,Electric,5498
13,Lexus RX,Hybrid,5245
14,Kia Niro,Hybrid,5100
15,BMW 5-Series,Plug in Hybrid,4719
16,Ford Fusion,Plug in Hybrid,4105
17,Honda Accord,Hybrid,3785
18,Lexus NX,Hybrid,3648
19,Hyundai Ioniq,Hybrid,3236
20,Toyota Highlander,Hybrid,3137
