ZIP,MYear,Fuel,Make,Duty,Vehicles
90000,2005,Gasoline ,OTHER/UNK,Light,1
90000,2007,Gasoline ,OTHER/UNK,Light,1
90000,2009,FXE,OTHER/UNK,Light,1
90000,2015,Gasoline ,OTHER/UNK,Light,1
90000,2016,Gasoline ,OTHER/UNK,Light,1
90000,<2005,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,55
90000,<2005,Diesel and Diesel Hybrid ,OTHER/UNK,Light,1
90000,<2005,Diesel and Diesel Hybrid ,WHITE,Heavy,19
90000,<2005,Battery Electric ,OTHER/UNK,Heavy,4
90000,<2005,FXM,OTHER/UNK,Light,6
90000,<2005,Gasoline ,CHEVROLET,Light,35
90000,<2005,Gasoline ,DODGE,Light,11
90000,<2005,Gasoline ,FORD,Light,29
90000,<2005,Gasoline ,GMC,Light,19
90000,<2005,Gasoline ,OTHER/UNK,Heavy,55
90000,<2005,Gasoline ,OTHER/UNK,Light,35
90000,<2005,Gasoline ,PLYMOUTH,Light,59
90001,2005,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,23
90001,2005,Diesel and Diesel Hybrid ,OTHER/UNK,Light,13
90001,2005,FXE,CHEVROLET,Light,25
90001,2005,FXE,DODGE,Light,12
90001,2005,FXE,FORD,Light,12
90001,2005,FXE,OTHER/UNK,Light,27
90001,2005,Gasoline ,ACURA,Light,28
90001,2005,Gasoline ,BMW,Light,22
90001,2005,Gasoline ,CADILLAC,Light,20
90001,2005,Gasoline ,CHEVROLET,Light,216
90001,2005,Gasoline ,CHRYSLER,Light,73
90001,2005,Gasoline ,DODGE,Light,71
90001,2005,Gasoline ,FORD,Light,182
90001,2005,Gasoline ,GMC,Light,66
90001,2005,Gasoline ,HONDA,Light,173
90001,2005,Gasoline ,HYUNDAI,Light,18
90001,2005,Gasoline ,INFINITI,Light,43
90001,2005,Gasoline ,JEEP,Light,25
90001,2005,Gasoline ,KIA,Light,25
90001,2005,Gasoline ,LEXUS,Light,13
90001,2005,Gasoline ,LINCOLN,Light,14
90001,2005,Gasoline ,MAZDA,Light,16
90001,2005,Gasoline ,MERCEDES-BENZ,Light,12
90001,2005,Gasoline ,NISSAN,Light,322
90001,2005,Gasoline ,OTHER/UNK,Heavy,15
90001,2005,Gasoline ,OTHER/UNK,Light,74
90001,2005,Gasoline ,PONTIAC,Light,17
90001,2005,Gasoline ,SCION,Light,45
90001,2005,Gasoline ,TOYOTA,Light,299
90001,2005,Gasoline ,VOLKSWAGEN,Light,13
90001,2005,HG,HONDA,Light,13
90001,2005,HG,OTHER/UNK,Light,1
90001,2005,HG,TOYOTA,Light,14
90001,2006,Diesel and Diesel Hybrid ,FORD,Heavy,14
90001,2006,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,21
90001,2006,Diesel and Diesel Hybrid ,OTHER/UNK,Light,7
90001,2006,Battery Electric ,OTHER/UNK,Light,1
90001,2006,FXE,CHEVROLET,Light,47
90001,2006,FXE,OTHER/UNK,Light,30
90001,2006,Gasoline ,ACURA,Light,36
90001,2006,Gasoline ,BMW,Light,55
90001,2006,Gasoline ,CADILLAC,Light,23
90001,2006,Gasoline ,CHEVROLET,Light,183
90001,2006,Gasoline ,CHRYSLER,Light,86
90001,2006,Gasoline ,DODGE,Light,80
90001,2006,Gasoline ,FORD,Light,154
90001,2006,Gasoline ,GMC,Light,40
90001,2006,Gasoline ,HONDA,Light,174
90001,2006,Gasoline ,INFINITI,Light,36
90001,2006,Gasoline ,JEEP,Light,27
90001,2006,Gasoline ,KIA,Light,31
90001,2006,Gasoline ,LEXUS,Light,18
90001,2006,Gasoline ,LINCOLN,Light,11
90001,2006,Gasoline ,MAZDA,Light,20
90001,2006,Gasoline ,MERCEDES-BENZ,Light,19
90001,2006,Gasoline ,NISSAN,Light,254
90001,2006,Gasoline ,OTHER/UNK,Heavy,8
90001,2006,Gasoline ,OTHER/UNK,Light,72
90001,2006,Gasoline ,PONTIAC,Light,22
90001,2006,Gasoline ,SATURN,Light,16
90001,2006,Gasoline ,SCION,Light,80
90001,2006,Gasoline ,TOYOTA,Light,266
90001,2006,Gasoline ,VOLKSWAGEN,Light,21
90001,2006,HG,OTHER/UNK,Light,14
90001,2006,HG,TOYOTA,Light,16
90001,2006,N,OTHER/UNK,Light,1
90001,2007,Diesel and Diesel Hybrid ,OTHER/UNK,Heavy,28
