Manufacturer,Car or Truck,"Vehicle
Type",Model Year,Fuel Economy (MPG) 2-Cycle 55/45*,Fuel Economy (MPG) Real-World City,Fuel Economy (MPG) Real-World Hwy,Fuel Economy (MPG) Real-World Comb,"CO2 Emissions (g/mi) Real-World 
City","CO2 Emissions (g/mi) Real-World 
Hwy","CO2 Emissions (g/mi) Real-World
Comb","Weight
(lbs)","Foot
print (ft2)",Volume (Cu-Ft),Engine CID,Engine HP,0-60 Time,"HP/
CID","HP/
WT",Ton-MPG,"Cu Ft-
MPG",Cu Ft-Ton-MPG,Drivetrain Front,Drivetrain 4WD,Rear,Transmission Manual,Transmission  Automatic,Lockup,CVT,Other,Fuel Metering Carb,Fuel Metering GDI,Port,TBI,Diesel,"Multi-
Valve",VVT,Hybrid,Vehicle Size: Small,Vehicle Size: Mid,Vehicle Size: Large
GM,Car,Sedan/Wagon,1975,15.1,11.8,14.4,12.8,751,619,692,4500,,,343,151,,0.450,0.0333,34.0,,,2.4%,,97.6%,7.0%,93.0%,,,,97.8%,,2.2%,,,,,,41.6%,26.0%,32.3%
GM,Car,Sedan/Wagon,1976,16.6,13.0,15.7,14.1,682,566,630,4401,,,330,148,,0.461,0.0333,36.5,,,2.6%,,97.4%,6.9%,93.1%,,,,98.3%,,1.7%,,,,,,44.2%,27.5%,28.3%
GM,Car,Sedan/Wagon,1977,17.7,14.0,16.6,15.1,634,534,589,4186,,116.1,315,145,,0.467,0.0345,37.2,2080,4328,2.4%,,97.6%,3.9%,96.1%,,,,98.8%,,1.2%,,,,,,39.0%,26.5%,34.5%
GM,Car,Sedan/Wagon,1978,19.0,14.9,18.1,16.2,597,490,549,3789,,115.0,289,136,13.4,0.477,0.0355,36.2,2223,4180,2.4%,,97.6%,5.8%,94.2%,,,,97.5%,,1.8%,,0.7%,,,,29.5%,36.7%,33.8%
GM,Car,Sedan/Wagon,1979,19.1,15.2,17.9,16.3,587,499,547,3761,,115.6,284,136,13.8,0.493,0.0359,36.3,2246,4199,4.0%,,96.0%,6.2%,88.5%,5.3%,,,95.4%,,2.0%,,2.7%,,,,25.9%,40.5%,33.6%
GM,Car,Sedan/Wagon,1980,21.9,17.0,21.1,18.7,525,423,479,3384,,111.4,225,114,15.0,0.537,0.0336,37.1,2474,4168,27.4%,,72.6%,12.9%,66.8%,20.3%,,,93.9%,,0.3%,1.0%,4.7%,,,,30.8%,51.5%,17.7%
GM,Car,Sedan/Wagon,1981,23.2,17.9,22.7,19.8,502,395,454,3445,,113.9,227,111,15.3,0.521,0.0321,40.0,2677,4598,25.7%,,74.3%,9.2%,31.4%,59.3%,,,88.1%,,,3.9%,8.0%,,,,26.4%,53.4%,20.2%
GM,Car,Sedan/Wagon,1982,24.2,18.4,24.3,20.7,487,368,433,3370,,114.2,213,111,16.3,0.554,0.0328,41.0,2813,4712,37.2%,,62.8%,8.8%,0.2%,91.1%,,,73.2%,,,20.5%,6.3%,,,,34.6%,44.2%,21.2%
GM,Car,Sedan/Wagon,1983,23.5,17.8,23.7,20.1,500,375,444,3448,,116.6,223,117,14.5,0.551,0.0337,40.7,2779,4752,37.0%,,63.0%,6.7%,0.2%,93.1%,,,68.8%,,0.2%,28.9%,2.1%,,,,26.4%,46.8%,26.8%
GM,Car,Sedan/Wagon,1984,24.4,18.5,24.7,20.9,481,360,427,3347,,112.4,209,115,14.3,0.582,0.0341,41.1,2785,4622,44.8%,,55.2%,8.8%,0.2%,91.0%,,,64.6%,,0.9%,33.6%,0.9%,,,,36.3%,42.4%,21.3%
GM,Car,Sedan/Wagon,1985,25.5,19.2,26.2,21.8,463,340,408,3325,,113.8,207,117,13.9,0.592,0.0349,42.5,2946,4851,60.8%,,39.2%,6.3%,0.8%,92.9%,,,46.9%,,17.4%,35.5%,0.2%,,,,32.5%,41.1%,26.4%
GM,Car,Sedan/Wagon,1986,27.0,20.2,27.6,23.0,440,321,386,3174,,111.2,190,115,13.2,0.634,0.0359,43.0,3060,4804,72.0%,,28.0%,9.1%,2.0%,88.9%,,,35.8%,,26.1%,38.0%,0.0%,,,,41.2%,36.8%,22.0%
GM,Car,Sedan/Wagon,1987,27.2,20.2,28.0,23.2,440,318,384,3192,,111.9,192,123,12.9,0.665,0.0380,43.6,3100,4894,77.1%,,22.9%,7.5%,2.1%,90.3%,,,23.4%,,38.3%,38.3%,,,,,40.8%,33.3%,26.0%
GM,Car,Sedan/Wagon,1988,28.1,20.7,28.9,23.9,430,308,373,3158,,111.2,181,122,13.1,0.701,0.0382,44.6,3180,4974,88.1%,,11.9%,9.8%,1.8%,88.4%,,,12.3%,,50.4%,37.3%,,3.2%,,,49.4%,28.1%,22.6%
GM,Car,Sedan/Wagon,1989,27.4,20.0,28.3,23.2,445,314,383,3191,,111.9,187,133,12.0,0.731,0.0412,43.9,3114,4922,89.0%,0.0%,11.0%,7.8%,1.6%,90.6%,,,4.4%,,56.3%,39.4%,,5.1%,,,40.1%,34.8%,25.1%
GM,Car,Sedan/Wagon,1990,27.3,19.6,28.3,23.0,452,315,386,3256,,110.7,183,136,11.1,0.770,0.0415,44.5,3053,4936,94.3%,0.1%,5.6%,7.6%,1.0%,91.4%,,,1.1%,,67.9%,31.0%,,11.9%,,,39.4%,37.8%,22.8%
GM,Car,Sedan/Wagon,1991,27.2,19.4,28.1,22.8,458,317,389,3248,,109.9,188,139,11.1,0.769,0.0422,44.2,3026,4871,88.0%,0.0%,11.9%,9.9%,2.4%,87.6%,,,,,56.3%,43.7%,,8.5%,,,44.8%,33.0%,22.2%
GM,Car,Sedan/Wagon,1992,26.7,18.9,27.8,22.4,471,320,396,3306,,110.7,193,146,10.6,0.789,0.0437,44.2,2996,4910,90.9%,0.0%,9.1%,8.8%,2.9%,88.3%,,,,,81.1%,18.9%,,10.8%,,,44.9%,28.7%,26.3%
GM,Car,Sedan/Wagon,1993,27.3,19.3,28.0,22.8,461,317,389,3268,,110.4,189,146,9.8,0.801,0.0442,44.7,3061,4956,93.1%,,6.9%,10.0%,1.5%,88.5%,,,,,85.0%,15.0%,,11.8%,,,48.0%,29.5%,22.5%
GM,Car,Sedan/Wagon,1994,27.5,19.3,27.9,22.9,459,318,388,3278,,109.5,186,149,9.7,0.822,0.0446,45.1,3055,4955,89.3%,,10.7%,10.5%,1.5%,88.0%,,,,,93.0%,7.0%,,13.1%,,,52.9%,25.5%,21.5%
GM,Car,Sedan/Wagon,1995,27.3,19.0,27.9,22.7,467,318,391,3338,,111.5,191,165,9.3,0.881,0.0488,45.7,3085,5101,90.6%,,9.4%,8.8%,1.2%,90.1%,,,,,97.6%,2.4%,,20.2%,,,46.4%,32.7%,20.9%
GM,Car,Sedan/Wagon,1996,27.9,19.3,28.4,23.1,461,313,385,3337,,110.4,188,167,9.6,0.898,0.0493,46.5,3097,5146,92.1%,,7.9%,8.7%,,91.3%,,,,,100.0%,,,24.8%,,,50.1%,31.8%,18.1%
GM,Car,Sedan/Wagon,1997,28.2,19.4,28.3,23.2,458,314,382,3300,,110.1,183,168,9.6,0.924,0.0500,46.5,3124,5123,96.3%,,3.7%,8.3%,1.8%,89.8%,,,,,97.5%,2.5%,,28.6%,,,48.5%,31.8%,19.6%
GM,Car,Sedan/Wagon,1998,27.6,18.9,27.7,22.7,471,321,392,3363,,111.5,191,174,9.7,0.915,0.0508,46.4,3102,5181,95.6%,,4.4%,6.7%,0.7%,92.5%,,,,,99.5%,0.5%,,24.4%,,,39.0%,43.3%,17.8%
GM,Car,Sedan/Wagon,1999,27.4,18.7,27.4,22.5,475,325,395,3401,,110.8,190,171,9.9,0.906,0.0495,46.7,3065,5180,95.3%,,4.7%,5.9%,0.6%,93.5%,,,,,99.7%,0.3%,,29.3%,,,46.2%,39.4%,14.4%
GM,Car,Sedan/Wagon,2000,27.6,18.6,27.6,22.6,478,322,394,3453,,111.8,193,175,9.4,0.910,0.0500,47.6,3101,5335,92.8%,,7.2%,4.4%,1.0%,94.6%,,,,,99.8%,0.2%,,23.9%,1.6%,,41.9%,33.8%,24.3%
GM,Car,Sedan/Wagon,2001,28.1,18.9,27.8,22.9,470,319,388,3448,,112.1,191,178,9.1,0.937,0.0510,48.5,3172,5449,94.0%,,6.0%,4.7%,0.7%,94.6%,,,,,100.0%,,,27.1%,2.3%,,40.4%,37.1%,22.6%
GM,Car,Sedan/Wagon,2002,28.5,19.1,27.8,23.1,465,319,384,3405,,111.8,194,178,9.1,0.929,0.0517,48.6,3212,5449,95.1%,,4.9%,5.8%,,94.2%,,,,,100.0%,,,25.2%,1.3%,,42.5%,33.4%,24.1%
GM,Car,Sedan/Wagon,2003,28.6,19.0,27.9,23.1,468,318,385,3468,,113.3,191,181,8.9,0.961,0.0517,49.6,3257,5635,94.0%,0.6%,5.4%,4.0%,,95.5%,0.4%,,,,100.0%,,,40.4%,3.7%,,36.7%,35.8%,27.5%
GM,Car,Sedan/Wagon,2004,29.1,19.1,28.5,23.5,465,312,379,3408,,112.5,190,181,8.9,0.969,0.0526,49.6,3302,5599,94.1%,0.4%,5.5%,5.4%,,93.9%,0.7%,,,,100.0%,,,44.8%,6.2%,,41.3%,30.8%,28.0%
GM,Car,Sedan/Wagon,2005,29.0,19.0,28.2,23.3,468,315,381,3469,,112.3,192,187,8.8,0.985,0.0533,50.5,3300,5688,91.6%,0.2%,8.2%,4.9%,,95.1%,,,,,100.0%,,,38.2%,10.4%,,37.8%,35.0%,27.2%
GM,Car,Sedan/Wagon,2006,28.6,18.7,27.6,22.9,474,321,387,3558,,112.1,195,197,8.7,1.026,0.0549,51.0,3242,5751,90.6%,0.8%,8.6%,6.4%,,93.6%,,,,,100.0%,,,43.9%,22.6%,,46.2%,27.3%,26.5%
GM,Car,Sedan/Wagon,2007,28.8,18.9,27.8,23.1,470,320,384,3563,,109.7,188,193,8.9,1.046,0.0537,51.5,3199,5685,90.9%,0.5%,8.7%,6.2%,,93.8%,,,,0.3%,99.7%,,,48.3%,47.3%,0.1%,48.8%,25.3%,25.9%
GM,Car,Sedan/Wagon,2008,28.6,18.7,27.7,23.0,474,321,387,3651,45.7,110.5,192,203,8.8,1.079,0.0552,52.4,3205,5830,89.3%,1.9%,8.8%,4.7%,,95.3%,,,,3.0%,97.0%,,,53.9%,58.1%,0.2%,41.5%,27.9%,30.6%
GM,Car,Sedan/Wagon,2009,30.0,19.7,28.6,24.0,451,311,371,3586,45.4,110.7,178,195,8.7,1.111,0.0538,54.2,3380,6024,88.8%,2.9%,8.3%,5.0%,,95.0%,,,,3.2%,96.8%,,,68.3%,79.1%,0.5%,46.6%,27.9%,25.6%
GM,Car,Sedan/Wagon,2010,29.8,19.4,28.9,23.9,458,308,372,3668,46.4,111.5,192,219,8.4,1.147,0.0586,54.9,3375,6145,78.9%,2.7%,18.4%,6.4%,,93.6%,,,,18.1%,81.9%,,,70.3%,93.2%,0.1%,45.0%,32.9%,22.1%
GM,Car,Sedan/Wagon,2011,30.0,19.5,28.8,23.9,457,308,372,3775,46.9,112.4,178,214,8.5,1.243,0.0558,57.5,3455,6471,81.2%,3.3%,15.5%,4.6%,,95.0%,0.5%,,,24.5%,75.5%,,,72.7%,92.3%,,16.8%,59.6%,23.6%
GM,Car,Sedan/Wagon,2012,32.4,20.8,31.3,25.7,426,284,345,3676,46.2,111.4,159,207,8.4,1.336,0.0554,61.8,3772,6885,85.6%,2.6%,11.8%,6.2%,,92.0%,1.8%,,,43.2%,56.8%,,,96.2%,97.6%,3.4%,19.1%,64.7%,16.1%
GM,Car,Sedan/Wagon,2013,32.9,21.4,31.5,26.2,416,282,340,3660,45.8,110.3,158,219,8.2,1.406,0.0585,63.2,3832,6972,82.2%,3.8%,14.0%,5.2%,,92.2%,2.6%,,,60.8%,39.2%,,,96.0%,97.1%,7.0%,,,
GM,Car,Sedan/Wagon,2014,34.0,21.9,31.8,26.7,405,279,333,3635,45.7,110.2,154,215,8.3,1.433,0.0580,64.3,3937,7106,81.8%,3.8%,14.5%,4.5%,0.1%,89.7%,5.6%,,,55.5%,43.5%,,0.9%,94.7%,97.7%,2.8%,,,
GM,Car,Sedan/Wagon,2015,34.2,22.0,32.1,26.8,403,277,331,3639,46.1,109.9,162,224,8.1,1.420,0.0605,64.9,3983,7178,80.2%,2.6%,17.2%,4.1%,0.3%,91.4%,4.1%,,,64.4%,35.1%,,0.2%,93.4%,98.0%,1.9%,,,
GM,Car,Sedan/Wagon,2016,35.1,22.7,32.7,27.5,391,272,323,3590,46.4,108.6,147,219,8.1,1.544,0.0598,67.5,4139,7371,83.2%,3.8%,13.0%,3.0%,0.3%,92.7%,3.9%,,,78.0%,21.6%,,,92.7%,99.4%,1.6%,,,
GM,Car,Sedan/Wagon,2017,38.5,25.1,35.6,30.2,352,247,292,3495,46.4,107.6,141,214,7.9,1.585,0.0596,86.0,5292,9420,81.3%,3.6%,15.1%,3.3%,3.1%,84.8%,8.7%,,,86.8%,9.8%,,0.2%,88.9%,96.2%,5.0%,,,
GM,Car,Sedan/Wagon,2018,38.0,24.8,34.1,29.3,354,257,299,3515,46.8,108.1,132,213,7.8,1.667,0.0595,77.6,4797,8514,77.1%,6.0%,16.9%,4.9%,3.1%,86.4%,5.7%,,,85.2%,10.7%,,1.0%,92.3%,95.9%,4.7%,,,
GM,Car,Car SUV,1975,15.6,13.2,13.3,13.2,675,667,671,4000,,,250,105,,0.420,0.0263,31.3,,,,,100.0%,16.9%,83.1%,,,,100.0%,,,,,,,,,,
GM,Car,Car SUV,1976,16.9,13.8,15.0,14.3,644,591,620,3946,,,261,111,,0.424,0.0284,33.5,,,,,100.0%,15.9%,84.1%,,,,100.0%,,,,,,,,,,
GM,Car,Car SUV,1977,18.0,14.6,16.2,15.3,610,547,582,4000,,,269,117,,0.433,0.0292,36.0,,,,,100.0%,16.3%,83.7%,,,,100.0%,,,,,,,,,,
GM,Car,Car SUV,1978,17.6,13.9,16.5,14.9,640,540,595,4000,,,270,126,14.5,0.466,0.0315,35.2,,,,,100.0%,14.8%,85.2%,,,,100.0%,,,,,,,,,,
GM,Car,Car SUV,1979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GM,Car,Car SUV,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
