Rank,Best-Selling Vehicle,Type,2018 Sales
1,Ford F-Series,Truck,451138
2,Chevrolet Silverado,Truck,291074
3,Ram Pickup,Truck,233539
4,Nissan Rogue,SUV,215202
5,Toyota RAV4,SUV,198390
6,Honda CR-V,SUV,179580
7,Toyota Camry,car,178795
8,Honda Civic,car,176242
9,Chevrolet Equinox,SUV,156365
10,Toyota Corolla,car,149805
11,Ford Escape,SUV,144627
12,Honda Accord,car,138290
13,Jeep Wrangler,Jeep,133492
14,Ford Explorer,SUV,128706
15,Nissan Altima,car,123792
16,Toyota Tacoma,Truck,116266
17,Nissan Sentra,car,115676
18,Toyota Highlander,SUV,114254
19,Jeep Cherokee,SUV,113719
20,Jeep Grand Cherokee,SUV,109313
